"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","Values(Rs. Cr.)","BROADCAST DATE"
"20 Microns Limited","35286502","15860521","    44.95","19425981","0","     0.00","     0.00","0","12-Jun-2024 11:30:34","2931432","35278227","8.31","42.125","12-Jun-2024 11:30:34"
"21st Century Management Services Limited","10500000","6746687","    64.25","3753313","0","     0.00","     0.00",,"12-Jun-2024 11:30:16","79138","10191972","0.78",,"12-Jun-2024 11:30:16"
"360 ONE WAM LIMITED","358862640","63708642","    17.75","295153998","19940804","    31.30","     5.56","1347.201","12-Jun-2024 11:30:41","4203591","361120326","1.16","283.995","12-Jun-2024 11:30:41"
"3M India Limited","11265070","8448802","    75.00","2816268","0","     0.00","     0.00","0","12-Jun-2024 11:30:17","138437","11224139","1.23","431.831","12-Jun-2024 11:30:17"
"3P Land Holdings Limited","18000000","13194158","    73.30","4805842","0","     0.00","     0.00",,"12-Jun-2024 11:30:13","54209","17681925","0.31",,"12-Jun-2024 11:30:13"
"63 moons technologies limited","46078537","21025878","    45.63","25052659","0","     0.00","     0.00","0","12-Jun-2024 11:30:27","1169670","46031622","2.54","44.635","12-Jun-2024 11:30:27"
"A2Z Infra Engineering Limited","176119858","49560983","    28.14","126558875","49402301","    99.68","    28.05",,"12-Jun-2024 11:30:36","54766454","176115041","31.1",,"12-Jun-2024 11:30:36"
"ABB India Limited","211908375","158931281","    75.00","52977094","0","     0.00","     0.00","0","12-Jun-2024 11:30:14","834232","210916588","0.4","530.642","12-Jun-2024 11:30:14"
"ACC Limited","187787263","106456927","    56.69","81330336","0","     0.00","     0.00","0","12-Jun-2024 11:30:07","1274482","185555387","0.69","317.563","12-Jun-2024 11:30:07"
"ADF Foods Limited","109863595","40009565","    36.42","69854030","3076190","     7.69","     2.80","56.894","12-Jun-2024 11:30:36","13199172","107902090","12.23","244.119","12-Jun-2024 11:30:36"
"AGS Transact Technologies Limited","121403076","79932414","    65.84","41470662","7155000","     8.95","     5.89",,"12-Jun-2024 11:30:42","12612184","121402895","10.39",,"12-Jun-2024 11:30:42"
"AIA Engineering Limited","94320370","55148921","    58.47","39171449","0","     0.00","     0.00","0","12-Jun-2024 11:30:28","211409","94320355","0.22","82.772","12-Jun-2024 11:30:28"
"AION-TECH SOLUTIONS LIMITED","34582066","18634698","    53.89","15947368","0","     0.00","     0.00","0","12-Jun-2024 11:30:24","1674813","34439137","4.86","21.161","12-Jun-2024 11:30:24"
"AJR INFRA AND TOLLING LIMITED","941830724","193999800","    20.60","747830924","193999800","   100.00","    20.60",,"12-Jun-2024 11:30:34","121178683","941827508","12.87",,"12-Jun-2024 11:30:34"
"AMD Industries Limited","19166749","12782466","    66.69","6384283","0","     0.00","     0.00","0","12-Jun-2024 11:30:31","104125","19166663","0.54","0.611","12-Jun-2024 11:30:31"
"ANDHRA PAPER LIMITED","39770039","28758400","    72.31","11011639","0","     0.00","     0.00","0","12-Jun-2024 11:30:17","1266788","39602528","3.2","61.534","12-Jun-2024 11:30:17"
"APL Apollo Tubes Limited","277524564","81708479","    29.44","195816085","0","     0.00","     0.00","0","12-Jun-2024 11:30:38","13680754","277520647","4.93","2046.572","12-Jun-2024 11:30:38"
"ARSS Infrastructure Projects Limited","22737966","10619468","    46.70","12118498","2646648","    24.92","    11.64",,"12-Jun-2024 11:30:35","3625901","22725240","15.96",,"12-Jun-2024 11:30:35"
"ATLANTAA LIMITED","81500000","58828306","    72.18","22671694","0","     0.00","     0.00","0","12-Jun-2024 11:30:30","4042812","81499985","4.96","9.137","12-Jun-2024 11:30:30"
"ATN International Limited","39450000","65444","     0.17","39384556","0","     0.00","     0.00",,"12-Jun-2024 11:30:29","482328","36540495","1.32",,"12-Jun-2024 11:30:29"
"AU Small Finance Bank Limited","669162451","170298412","    25.45","498864039","0","     0.00","     0.00","0","12-Jun-2024 11:30:40","47742363","742935074","6.43","2697.444","12-Jun-2024 11:30:40"
"AVT Natural Products Limited","152284000","114212975","    75.00","38071025","0","     0.00","     0.00","0","12-Jun-2024 11:30:30","1781336","148410156","1.2","14.963","12-Jun-2024 11:30:30"
"AXISCADES Technologies Limited","41923734","25282047","    60.30","16641687","5204000","    20.58","    12.41","287.859","12-Jun-2024 11:30:23","7669228","41924171","18.29","424.223","12-Jun-2024 11:30:23"
"Aarti Drugs Limited","91935000","52523075","    57.13","39411925","0","     0.00","     0.00","0","12-Jun-2024 11:30:20","2787470","91287150","3.05","121.06","12-Jun-2024 11:30:20"
"Aarti Industries Limited","362504035","157439824","    43.43","205064211","5800000","     3.68","     1.60","386.019","12-Jun-2024 11:30:17","19060119","361092878","5.28","1268.546","12-Jun-2024 11:30:17"
"Aarvee Denims & Exports Limited","23459800","15436303","    65.80","8023497","7872515","    51.00","    33.56","18.776","12-Jun-2024 11:30:30","8055197","23192997","34.73","19.212","12-Jun-2024 11:30:30"
"Aban Offshore Limited","58365323","26846160","    46.00","31519163","5200000","    19.37","     8.91",,"12-Jun-2024 11:30:14","6760752","58171677","11.62",,"12-Jun-2024 11:30:14"
"Abans Holdings Limited","50145950","36149995","    72.09","13995955","4382000","    12.12","     8.74","116.693","12-Jun-2024 11:30:42","9066666","48950000","18.52","241.445","12-Jun-2024 11:30:42"
"Abhishek Corporation Limited","16008462","9225495","    57.63","6782967","8164316","    88.50","    51.00",,"12-Jun-2024 11:30:31","8195463","16007896","51.2",,"12-Jun-2024 11:30:31"
"Accelya Solutions India Limited","14926261","11143295","    74.66","3782966","0","     0.00","     0.00","0","12-Jun-2024 11:30:22","1353817","14866588","9.11","227.475","12-Jun-2024 11:30:22"
"Accuracy Shipping Limited","150560000","95886640","    63.69","54673360","1000","     0.00","     0.00",,"12-Jun-2024 11:30:41","3158694","150560000","2.1",,"12-Jun-2024 11:30:41"
"Action Construction Equipment Limited","119083196","79571254","    66.82","39511942","0","     0.00","     0.00","0","12-Jun-2024 11:30:30","3294792","119069518","2.77","470.052","12-Jun-2024 11:30:30"
"Adani Energy Solutions Limited","1115492683","816759987","    73.22","298732696","21085980","     2.58","     1.89","2164.898","12-Jun-2024 11:30:39","32842724","1115309254","2.94","3371.962","12-Jun-2024 11:30:39"
"Adani Enterprises Limited","1140001121","827750953","    72.61","312250168","671000","     0.08","     0.06","214.525","12-Jun-2024 11:30:11","9318637","1139856598","0.82","2979.261","12-Jun-2024 11:30:11"
"Adani Green Energy Limited","1584032478","892971869","    56.37","691060609","9086130","     1.02","     0.57","1667.441","12-Jun-2024 11:30:41","15516507","1583917341","0.98","2847.512","12-Jun-2024 11:30:41"
"Adani Ports and Special Economic Zone Limited","2160138945","1423376085","    65.89","736762860","24217000","     1.70","     1.12","3249.558","12-Jun-2024 11:30:33","43943616","2159903028","2.03","5896.574","12-Jun-2024 11:30:33"
"Adani Power Limited","3856938941","2767402967","    71.75","1089535974","445588299","    16.10","    11.55","23785.503","12-Jun-2024 11:30:34","77906693","3856583775","2.02","4158.659","12-Jun-2024 11:30:34"
"Aditya Birla Capital Limited","2600021884","1793054883","    68.96","806967001","0","     0.00","     0.00","0","12-Jun-2024 11:30:41","43002701","2575528080","1.67","754.267","12-Jun-2024 11:30:41"
"Aditya Birla Fashion and Retail Limited","1015009642","531017533","    52.32","483992109","0","     0.00","     0.00","0","12-Jun-2024 11:30:38","21190863","1009567470","2.1","435.578","12-Jun-2024 11:30:38"
"Aditya Birla Money Limited","56509201","41550000","    73.53","14959201","0","     0.00","     0.00",,"12-Jun-2024 11:30:33","803325","55615570","1.44",,"12-Jun-2024 11:30:33"
"Ador Welding Limited","13598467","7738162","    56.90","5860305","0","     0.00","     0.00","0","12-Jun-2024 11:30:10","436079","13233647","3.3","59.786","12-Jun-2024 11:30:10"
"Advanced Enzyme Technologies Limited","111824075","48636594","    43.49","63187481","0","     0.00","     0.00","0","12-Jun-2024 11:30:40","2258470","111585075","2.02","78.696","12-Jun-2024 11:30:40"
"Advani Hotels & Resorts (India) Limited","92438500","46452004","    50.25","45986496","0","     0.00","     0.00","0","12-Jun-2024 11:30:12","961282","91843825","1.05","6.912","12-Jun-2024 11:30:12"
"Aegis Logistics Limited","351000000","203924675","    58.10","147075325","0","     0.00","     0.00","0","12-Jun-2024 11:30:10","5053429","347960188","1.45","225.711","12-Jun-2024 11:30:10"
"Agarwal Industrial Corporation Limited","14957789","8555434","    57.20","6402355","0","     0.00","     0.00","0","12-Jun-2024 11:30:39","668791","14953489","4.47","53.53","12-Jun-2024 11:30:39"
"Agri-Tech (India) Limited","5940000","1847428","    31.10","4092572","0","     0.00","     0.00","0","12-Jun-2024 11:30:39","142387","5679157","2.51","3.224","12-Jun-2024 11:30:39"
"Agro Phos India Limited","20274115","11002425","    54.27","9271690","0","     0.00","     0.00","0","12-Jun-2024 11:30:40","541764","19799055","2.74","1.961","12-Jun-2024 11:30:40"
"Agro Tech Foods Limited","24369264","12616619","    51.77","11752645","0","     0.00","     0.00","0","12-Jun-2024 11:30:10","656581","24244854","2.71","44.779","12-Jun-2024 11:30:10"
"Ahlada Engineers Limited","12921000","6525275","    50.50","6395725","0","     0.00","     0.00","0","12-Jun-2024 11:30:41","229812","12921000","1.78","2.515","12-Jun-2024 11:30:41"
"Ahluwalia Contracts (India) Limited","66987560","37055977","    55.32","29931583","0","     0.00","     0.00","0","12-Jun-2024 11:30:35","689411","66935275","1.03","70.416","12-Jun-2024 11:30:35"
"Airo Lam limited","15002000","7953599","    53.02","7048401","1500200","    18.86","    10.00","23.028","12-Jun-2024 11:30:41","1601004","15002000","10.67","24.575","12-Jun-2024 11:30:41"
"Ajanta Pharma Limited","125915655","83373054","    66.21","42542601","10220844","    12.26","     8.12","2280.117","12-Jun-2024 11:30:23","9920179","125725269","7.89","2213.043","12-Jun-2024 11:30:23"
"Ajmera Realty & Infra India Limited","35484875","26328187","    74.20","9156688","1950000","     7.41","     5.50","140.946","12-Jun-2024 11:30:34","3108058","35453035","8.77","224.65","12-Jun-2024 11:30:34"
"Akg Exim Limited","31776576","18381018","    57.84","13395558","0","     0.00","     0.00","0","12-Jun-2024 11:30:41","1762326","31774976","5.55","3.155","12-Jun-2024 11:30:41"
"Aksh Optifibre Limited","162697971","42522310","    26.14","120175661","0","     0.00","     0.00",,"12-Jun-2024 11:30:23","8971643","162593495","5.52",,"12-Jun-2024 11:30:23"
"Akzo Nobel India Limited","45540314","34044335","    74.76","11495979","0","     0.00","     0.00","0","12-Jun-2024 11:30:18","206717","45130185","0.46","49.296","12-Jun-2024 11:30:18"
"Alankit Limited","271158100","146826224","    54.15","124331876","0","     0.00","     0.00",,"12-Jun-2024 11:30:39","5438344","270808460","2.01",,"12-Jun-2024 11:30:39"
"Alchemist Limited","13559800","4738341","    34.94","8821459",,,,,"12-Jun-2024 11:30:32","136954","12933102","1.06",,"12-Jun-2024 11:30:32"
"Alembic Limited","256781828","182011077","    70.88","74770751","0","     0.00","     0.00","0","12-Jun-2024 11:30:22","7687917","254390879","3.02","64.156","12-Jun-2024 11:30:22"
"Alembic Pharmaceuticals Limited","196563124","136828253","    69.61","59734871","0","     0.00","     0.00","0","12-Jun-2024 11:30:37","1141920","195420203","0.58","112.456","12-Jun-2024 11:30:37"
"Alicon Castalloy Limited","16111840","8976368","    55.71","7135472","0","     0.00","     0.00","0","12-Jun-2024 11:30:30","385250","16233018","2.37","31.739","12-Jun-2024 11:30:30"
"Alkali Metals Limited","10182506","7085842","    69.59","3096664","2130000","    30.06","    20.92","22.014","12-Jun-2024 11:30:34","2391503","10181998","23.49","24.716","12-Jun-2024 11:30:34"
"Alkyl Amines Chemicals Limited","51121395","36785268","    71.96","14336127","0","     0.00","     0.00","0","12-Jun-2024 11:30:20","817159","50739300","1.61","148.229","12-Jun-2024 11:30:20"
"Allcargo Gati Limited","130252027","68945930","    52.93","61306097","276100","     0.40","     0.21","2.652","12-Jun-2024 11:30:24","13739563","129770608","10.59","131.969","12-Jun-2024 11:30:24"
"Allcargo Logistics Limited","982782096","687144836","    69.92","295637260","0","     0.00","     0.00","0","12-Jun-2024 11:30:29","36777480","982716826","3.74","263.327","12-Jun-2024 11:30:29"
"Allied Digital Services Limited","55294853","28861800","    52.20","26433053","0","     0.00","     0.00","0","12-Jun-2024 11:30:32","2982341","53919299","5.53","41.499","12-Jun-2024 11:30:32"
"Allsec Technologies Limited","15238326","11182912","    73.39","4055414","0","     0.00","     0.00","0","12-Jun-2024 11:30:27","450579","15238261","2.96","32.919","12-Jun-2024 11:30:27"
"Almondz Global Securities Limited","26809967","15602102","    58.20","11207865","0","     0.00","     0.00",,"12-Jun-2024 11:30:34","577905","26687947","2.17",,"12-Jun-2024 11:30:34"
"Alok Industries Limited","4965240401","3723845177","    75.00","1241395224","0","     0.00","     0.00",,"12-Jun-2024 11:30:41","92114629","4963087568","1.86",,"12-Jun-2024 11:30:41"
"Alpa Laboratories Limited","21040600","12055010","    57.29","8985590","0","     0.00","     0.00","0","12-Jun-2024 11:30:32","838074","21035400","3.98","6.977","12-Jun-2024 11:30:32"
"Alphageo (India) Limited","6364767","2933592","    46.09","3431175","280534","     9.56","     4.41","9.21","12-Jun-2024 11:30:32","660540","6309638","10.47","21.686","12-Jun-2024 11:30:32"
"Alps Industries Limited","39114100","8686018","    22.21","30428082","4019018","    46.27","    10.28",,"12-Jun-2024 11:30:19","4618783","39043252","11.83",,"12-Jun-2024 11:30:19"
"Amara Raja Energy & Mobility Limited","183025364","60145316","    32.86","122880048","0","     0.00","     0.00","0","12-Jun-2024 11:30:11","6687938","182476940","3.67","508.551","12-Jun-2024 11:30:11"
"Ambica Agarbathies & Aroma industries Limited","17177400","7505532","    43.69","9671868","50000","     0.67","     0.29","0.132","12-Jun-2024 11:30:26","130348","17003481","0.77","0.343","12-Jun-2024 11:30:26"
"Ambika Cotton Mills Limited","5725000","2872350","    50.17","2852650","0","     0.00","     0.00","0","12-Jun-2024 11:30:33","244289","5696583","4.29","34.55","12-Jun-2024 11:30:33"
"Ambuja Cements Limited","2197675987","1467229402","    66.76","730446585","0","     0.00","     0.00","0","12-Jun-2024 11:30:18","20588747","2454897196","0.84","1260.752","12-Jun-2024 11:30:18"
"Amit Spinning Industries Limited","41169667","20981077","    50.96","20188590","0","     0.00","     0.00",,"12-Jun-2024 11:30:28","8233934","39142447","21.04",,"12-Jun-2024 11:30:28"
"Amj Land Holdings Limited","41000000","27020005","    65.90","13979995","0","     0.00","     0.00","0","12-Jun-2024 11:30:17","1513142","40439295","3.74","5.122","12-Jun-2024 11:30:17"
"Amrutanjan Health Care Limited","28910630","14645282","    50.66","14265348","0","     0.00","     0.00","0","12-Jun-2024 11:30:35","712143","28394180","2.51","44.185","12-Jun-2024 11:30:35"
"Anand Rathi Wealth Limited","41828297","20088981","    48.03","21739316","2250","     0.01","     0.01","0.831","12-Jun-2024 11:30:42","3992422","41828296","9.54","1474.94","12-Jun-2024 11:30:42"
"Anant Raj Limited","341890753","205146158","    60.00","136744595","0","     0.00","     0.00","0","12-Jun-2024 11:30:30","19144345","340906724","5.62","596.059","12-Jun-2024 11:30:30"
"Andhra Cements Limited","92172140","82954926","    90.00","9217214","21890883","    26.39","    23.75","170.202","12-Jun-2024 11:30:42","22800441","91737564","24.85","177.273","12-Jun-2024 11:30:42"
"Anik Industries Limited","27753486","10493380","    37.81","17260106","0","     0.00","     0.00",,"12-Jun-2024 11:30:12","1570223","22632042","6.94",,"12-Jun-2024 11:30:12"
"Ankit Metal & Power Limited","141110500","100215000","    71.02","40895500","100215000","   100.00","    71.02","35.576","12-Jun-2024 11:30:38","101459520","141110366","71.9","36.018","12-Jun-2024 11:30:38"
"Anmol India Limited","56914150","32489150","    57.08","24425000","10936900","    33.66","    19.22","45.716","12-Jun-2024 11:30:42","13194394","56914150","23.18","55.153","12-Jun-2024 11:30:42"
"Ansal Properties & Infrastructure Limited","157404876","76768484","    48.77","80636392","55564816","    72.38","    35.30",,"12-Jun-2024 11:30:10","58811300","156838764","37.5",,"12-Jun-2024 11:30:10"
"Antarctica Limited","155009600","17122923","    11.05","137886677","0","     0.00","     0.00",,"12-Jun-2024 11:30:21","1575008","139948695","1.13",,"12-Jun-2024 11:30:21"
"Antony Waste Handling Cell Limited","28382100","13101069","    46.16","15281031","25000","     0.19","     0.09","1.154","12-Jun-2024 11:30:41","1437909","28382100","5.07","66.388","12-Jun-2024 11:30:41"
"Anupam Rasayan India Limited","109785896","67253016","    61.26","42532880","6250000","     9.29","     5.69","544.031","12-Jun-2024 11:30:42","18439213","109785896","16.8","1605.041","12-Jun-2024 11:30:42"
"Apar Industries Limited","40168315","23204303","    57.77","16964012","0","     0.00","     0.00","0","12-Jun-2024 11:30:26","479456","40086504","1.2","334.608","12-Jun-2024 11:30:26"
"Apcotex Industries Limited","51844960","30188720","    58.23","21656240","0","     0.00","     0.00","0","12-Jun-2024 11:30:12","1618634","50656702","3.2","70.92","12-Jun-2024 11:30:12"
"Apollo Hospitals Enterprise Limited","143784657","42177612","    29.33","101607045","6785000","    16.09","     4.72","4313.089","12-Jun-2024 11:30:11","7331851","142645981","5.14","4660.711","12-Jun-2024 11:30:11"
"Apollo Micro Systems Limited","282358860","150257000","    53.21","132101860","31215000","    20.77","    11.06","297.479","12-Jun-2024 11:30:41","38535374","298864780","12.89","367.242","12-Jun-2024 11:30:41"
"Apollo Pipes Limited","39353206","20150250","    51.20","19202956","0","     0.00","     0.00","0","12-Jun-2024 11:30:41","1638530","41337256","3.96","104.194","12-Jun-2024 11:30:41"
"Apollo Sindoori Hotels Limited","2600400","1681882","    64.68","918518","0","     0.00","     0.00","0","12-Jun-2024 11:30:39","50706","2528780","2.01","8.452","12-Jun-2024 11:30:39"
"Apollo Tyres Limited","635100946","237265403","    37.36","397835543","2545080","     1.07","     0.40","118.715","12-Jun-2024 11:30:15","71625721","627865324","11.41","3340.982","12-Jun-2024 11:30:15"
"Aptech Limited","57993048","27464554","    47.36","30528494","0","     0.00","     0.00","0","12-Jun-2024 11:30:24","7592493","57671974","13.16","175.842","12-Jun-2024 11:30:24"
"Archean Chemical Industries Limited","123396969","65959184","    53.45","57437785","3002000","     4.55","     2.43","200.834","12-Jun-2024 11:30:42","5139120","123396969","4.16","343.807","12-Jun-2024 11:30:42"
"Archidply Industries Limited","19865000","13883523","    69.89","5981477","0","     0.00","     0.00","0","12-Jun-2024 11:30:34","470177","19794830","2.38","3.895","12-Jun-2024 11:30:34"
"Archies Limited","33780000","21026477","    62.25","12753523",,,,,"12-Jun-2024 11:30:22","879260","33692566","2.61",,"12-Jun-2024 11:30:22"
"Arcotech Limited","105000000","41960144","    39.96","63039856","19154794","    45.65","    18.24",,"12-Jun-2024 11:30:39","20339296","103663603","19.62",,"12-Jun-2024 11:30:39"
"Aries Agro Limited","13004339","6847926","    52.66","6156413","0","     0.00","     0.00","0","12-Jun-2024 11:30:33","536196","12924985","4.15","12.987","12-Jun-2024 11:30:33"
"Arihant Capital Markets Limited","104112800","72680160","    69.81","31432640","0","     0.00","     0.00","0","12-Jun-2024 11:30:42","3684376","102996600","3.58","20.227","12-Jun-2024 11:30:42"
"Arihant Superstructures Limited","41159991","30751128","    74.71","10408863","0","     0.00","     0.00","0","12-Jun-2024 11:30:40","2583948","41136322","6.28","85.064","12-Jun-2024 11:30:40"
"Aro Granite Industries Limited","15300000","6282856","    41.06","9017144","0","     0.00","     0.00","0","12-Jun-2024 11:30:32","531497","15062077","3.53","2.386","12-Jun-2024 11:30:32"
"Arshiya Limited","263475915","37871225","    14.37","225604690","37871225","   100.00","    14.37",,"12-Jun-2024 11:30:35","52559822","262960064","19.99",,"12-Jun-2024 11:30:35"
"Arvind Fashions Limited","132984460","48906359","    36.78","84078101","3900000","     7.97","     2.93","176.729","12-Jun-2024 11:30:41","9633658","132710331","7.26","436.549","12-Jun-2024 11:30:41"
"Arvind Limited","261630474","107621498","    41.13","154008976","7500000","     6.97","     2.87","202.838","12-Jun-2024 11:30:07","21969565","260175546","8.44","594.167","12-Jun-2024 11:30:07"
"Arvind SmartSpaces Limited","45343979","22852999","    50.40","22490980","0","     0.00","     0.00","0","12-Jun-2024 11:30:39","4305140","45287648","9.51","300.413","12-Jun-2024 11:30:39"
"Asahi India Glass Limited","243089931","131831320","    54.23","111258611","5200000","     3.94","     2.14","278.902","12-Jun-2024 11:30:21","13930126","240564866","5.79","747.142","12-Jun-2024 11:30:21"
"Asahi Songwon Colors Limited","11787262","7870394","    66.77","3916868","0","     0.00","     0.00","0","12-Jun-2024 11:30:37","263338","11785166","2.23","8.547","12-Jun-2024 11:30:37"
"Ashapura Intimates Fashion Limited","25211406","3720692","    14.76","21490714","1924631","    51.73","     7.63",,"12-Jun-2024 11:30:39","2298444","25184590","9.13",,"12-Jun-2024 11:30:39"
"Ashapura Minechem Limited","91486098","41522228","    45.39","49963870","12740174","    30.68","    13.93","478.967","12-Jun-2024 11:30:19","18148926","91300105","19.88","682.309","12-Jun-2024 11:30:19"
"Ashiana Housing Limited","100524857","61426786","    61.11","39098071","0","     0.00","     0.00","0","12-Jun-2024 11:30:37","1260869","98983618","1.27","34.542","12-Jun-2024 11:30:37"
"Ashima Limited","191660078","140842835","    73.49","50817243","0","     0.00","     0.00","0","12-Jun-2024 11:30:11","3438404","190992634","1.8","6.189","12-Jun-2024 11:30:11"
"Ashok Leyland Limited","2936327276","1524330261","    51.91","1411997015","331660000","    21.76","    11.30","5679.678","12-Jun-2024 11:30:08","365144159","2927971729","12.47","6253.094","12-Jun-2024 11:30:08"
"Ashoka Buildcon Limited","280723217","152928785","    54.48","127794432","0","     0.00","     0.00","0","12-Jun-2024 11:30:36","11991913","280718868","4.27","187.793","12-Jun-2024 11:30:36"
"Asian Granito India Limited","126745316","36775302","    29.02","89970014","0","     0.00","     0.00","0","12-Jun-2024 11:30:32","16836503","126745095","13.28","96.221","12-Jun-2024 11:30:32"
"Asian Hotels (East) Limited","17291696","11349179","    65.63","5942517","0","     0.00","     0.00","0","12-Jun-2024 11:30:36","1147832","17102561","6.71","15.622","12-Jun-2024 11:30:36"
"Asian Hotels (North) Limited","19453229","31600","     0.16","19421629","31500","    99.68","     0.16",,"12-Jun-2024 11:30:35","1417568","19334720","7.33",,"12-Jun-2024 11:30:35"
"Asian Paints Limited","959197790","505140773","    52.66","454057017","35520427","     7.03","     3.70","10111.778","12-Jun-2024 11:30:09","43938207","955514276","4.6","12508.109","12-Jun-2024 11:30:09"
"Astec LifeSciences Limited","19609206","13089856","    66.75","6519350","0","     0.00","     0.00","0","12-Jun-2024 11:30:35","1083605","19610260","5.53","115.669","12-Jun-2024 11:30:35"
"Aster DM Healthcare Limited","499513060","210946388","    42.23","288566672","206834332","    98.05","    41.41","8465.729","12-Jun-2024 11:30:41","212771403","499218566","42.62","8708.734","12-Jun-2024 11:30:41"
"Astra Microwave Products Limited","94945008","6205827","     6.54","88739181","0","     0.00","     0.00","0","12-Jun-2024 11:30:26","11263431","94747433","11.89","671.807","12-Jun-2024 11:30:26"
"AstraZeneca Pharma India Limited","25000000","18750000","    75.00","6250000","0","     0.00","     0.00","0","12-Jun-2024 11:30:22","697474","24861660","2.81","371.646","12-Jun-2024 11:30:22"
"Astral Limited","268627009","145331166","    54.10","123295843","0","     0.00","     0.00","0","12-Jun-2024 11:30:31","2804434","268611653","1.04","558.433","12-Jun-2024 11:30:31"
"Astron Paper & Board Mill Limited","46500000","12583250","    27.06","33916750","0","     0.00","     0.00",,"12-Jun-2024 11:30:41","6755541","46499700","14.53",,"12-Jun-2024 11:30:41"
"Atcom Technologies Limited","15340000","2163600","    14.10","13176400","1371500","    63.39","     8.94",,"12-Jun-2024 11:30:19","1500547","14166104","10.59",,"12-Jun-2024 11:30:19"
"Atlas Cycles (Haryana) Limited","6503838","2726494","    41.92","3777344","0","     0.00","     0.00",,"12-Jun-2024 11:30:20","132525","6294671","2.11",,"12-Jun-2024 11:30:20"
"Atul Limited","29441755","13298278","    45.17","16143477","130000","     0.98","     0.44","74.627","12-Jun-2024 11:30:07","696724","29180447","2.39","399.954","12-Jun-2024 11:30:07"
"Aurionpro Solutions Limited","24815165","7423368","    29.91","17391797","1576000","    21.23","     6.35",,"12-Jun-2024 11:30:28","1413745","27567916","5.13",,"12-Jun-2024 11:30:28"
"Aurobindo Pharma Limited","585938609","303715471","    51.83","282223138","63368000","    20.86","    10.81","6899.191","12-Jun-2024 11:30:15","69009782","585170397","11.79","7513.44","12-Jun-2024 11:30:15"
"Aurum PropTech Limited","72074889","36032859","    49.99","36042030",,,,,"12-Jun-2024 11:30:39","1841203","29041667","6.34",,"12-Jun-2024 11:30:39"
"Ausom Enterprise Limited","13623552","10040000","    73.70","3583552","0","     0.00","     0.00","0","12-Jun-2024 11:30:19","32631","12750856","0.26","0.301","12-Jun-2024 11:30:19"
"Autoline Industries Limited","38963164","13011258","    33.39","25951906","0","     0.00","     0.00","0","12-Jun-2024 11:30:31","771745","38857510","1.99","8.821","12-Jun-2024 11:30:31"
"Automotive Axles Limited","15111975","10735226","    71.04","4376749","0","     0.00","     0.00","0","12-Jun-2024 11:30:19","241082","15073881","1.6","42.369","12-Jun-2024 11:30:19"
"Automotive Stampings and Assemblies Limited","15864397","11898296","    75.00","3966101","0","     0.00","     0.00","0","12-Jun-2024 11:30:24","261364","15841244","1.65","15.001","12-Jun-2024 11:30:24"
"Avadh Sugar & Energy Limited","20018420","12089172","    60.39","7929248","2879682","    23.82","    14.39","152.926","12-Jun-2024 11:30:40","3784420","19935845","18.98","200.972","12-Jun-2024 11:30:40"
"Avanti Feeds Limited","136245630","58931403","    43.25","77314227","0","     0.00","     0.00","0","12-Jun-2024 11:30:39","3173613","135297494","2.35","153.682","12-Jun-2024 11:30:39"
"Axis Bank Limited","3086570375","352282910","    11.41","2734287465","0","     0.00","     0.00","0","12-Jun-2024 11:30:22","27444879","3086700566","0.89","2874.028","12-Jun-2024 11:30:22"
"Axita Cotton Limited","260878008","163752604","    62.77","97125404","13","     0.00","     0.00","0","12-Jun-2024 11:30:42","4028506","260878008","1.54","8.42","12-Jun-2024 11:30:42"
"B. L. Kashyap and Sons Limited","225440000","138978276","    61.65","86461724","138233158","    99.46","    61.32","948.279","12-Jun-2024 11:30:29","151036709","225433999","67","1036.112","12-Jun-2024 11:30:29"
"B.A.G Films and Media Limited","197918090","92748182","    46.86","105169908","0","     0.00","     0.00",,"12-Jun-2024 11:30:25","1392651","197467360","0.71",,"12-Jun-2024 11:30:25"
"BASF India Limited","43285640","31743220","    73.33","11542420","0","     0.00","     0.00","0","12-Jun-2024 11:30:07","1359454","43033346","3.16","453.657","12-Jun-2024 11:30:07"
"BEML Limited","41644500","22500000","    54.03","19144500","0","     0.00","     0.00","0","12-Jun-2024 11:30:10","1389072","41573539","3.34","442.239","12-Jun-2024 11:30:10"
