"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","Values(Rs. Cr.)","BROADCAST DATE"
"Tata Communications Limited","285000000","167760493","    58.86","117239507","0","     0.00","     0.00","0","12-Jun-2024 11:30:13","4135403","284938668","1.45","831.381","12-Jun-2024 11:30:13"
"Tata Consultancy Services Limited","3618087518","2596558628","    71.77","1021528890","7160000","     0.28","     0.20","2775.431","12-Jun-2024 11:30:26","21840471","3617345042","0.6","8466.022","12-Jun-2024 11:30:26"
"Tata Elxsi Limited","62276440","27348919","    43.92","34927521","0","     0.00","     0.00","0","12-Jun-2024 11:30:11","2057073","61121056","3.37","1601.462","12-Jun-2024 11:30:11"
"Tata Investment Corporation Limited","50595296","37128947","    73.38","13466349","0","     0.00","     0.00",,"12-Jun-2024 11:30:17","540982","50387695","1.07",,"12-Jun-2024 11:30:17"
"Tata Motors Limited","3323739001","1540885009","    46.36","1782853992","0","     0.00","     0.00","0","12-Jun-2024 11:30:07","63582330","3314791737","1.92","6312.454","12-Jun-2024 11:30:07"
"Tata Motors Limited","508502896","39002948","     7.67","469499948","0","     0.00","     0.00","0","12-Jun-2024 11:30:34","38101519","508423368","7.49","2504.032","12-Jun-2024 11:30:34"
"Tata Power Company Limited","3195339547","1497257565","    46.86","1698081982","0","     0.00","     0.00","0","12-Jun-2024 11:30:12","100627494","3169546619","3.17","3966.736","12-Jun-2024 11:30:12"
"Tata Steel Limited","12483531541","4143594780","    33.19","8339936761","0","     0.00","     0.00","0","12-Jun-2024 11:30:08","226448836","12390603480","1.83","3529.205","12-Jun-2024 11:30:08"
"Tata Teleservices (Maharashtra) Limited","1954927727","1453672327","    74.36","501255400","0","     0.00","     0.00","0","12-Jun-2024 11:30:23","46281048","1952500543","2.37","342.48","12-Jun-2024 11:30:23"
"Tci Finance Limited","12872493","3182360","    24.72","9690133","0","     0.00","     0.00",,"12-Jun-2024 11:30:21","350709","11832334","2.96",,"12-Jun-2024 11:30:21"
