"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME","DISSEMINATION","DIFFERENCE"
"KANANIIND","Kanani Industries Limited","Mr. Harshil Premjibhai Kanani","04-JUN-2024 to 04-JUN-2024",,"875402","112316554","Reg29(2)","07-Jun-2024, 11-03","07-Jun-2024 11:04","00:00:54"
"PAISALO","Paisalo Digital Limited","EQUILIBRATED VENTURE CFLOW (P) LTD.","04-JUN-2024 to 04-JUN-2024","1125000",,"125240882","Reg29(2)","07-Jun-2024, 11-01","07-Jun-2024 11:02","00:00:43"
"RGL","Renaissance Global Limited","Jyotsna Mahendra Shah","03-JUN-2024 to 03-JUN-2024",,"670000","1418320","Reg29(2)","07-Jun-2024, 10-57","07-Jun-2024 10:58","00:00:11"
"PAISALO","Paisalo Digital Limited","EQUILIBRATED VENTURE CFLOW (P) LTD.","04-JUN-2024 to 04-JUN-2024","1125000",,"125240882","Reg29(2)","07-Jun-2024, 10-55","07-Jun-2024 10:56","00:00:19"
"SEAMECLTD","Seamec Limited","Hal Offshore Limited","04-JUN-2024 to 04-JUN-2024","45000",,"17875694","Reg29(2)","07-Jun-2024, 10-52","07-Jun-2024 10:54","00:01:32"
"RGL","Renaissance Global Limited","Niranjan A shah","03-JUN-2024 to 03-JUN-2024",,"10105","383755","Reg29(2)","07-Jun-2024, 10-46","07-Jun-2024 10:48","00:01:28"
"KAMOPAINTS","Kamdhenu Ventures Limited","Aidos India Fund Limited","31-MAY-2024 to 31-MAY-2024",,"201650","1087974","Reg29(2)","06-Jun-2024, 19-20","06-Jun-2024 19:22","00:01:59"
"KAMOPAINTS","Kamdhenu Ventures Limited","Minerva Emerging Opportunities Fund Ltd","31-MAY-2024 to 31-MAY-2024",,"485000","1365000","Reg29(2)","06-Jun-2024, 19-15","06-Jun-2024 19:16","00:00:28"
"AKG","Akg Exim Limited","Mahima Goel","28-MAY-2024 to 28-MAY-2024",,"800000","17581018","Reg29(2)","06-Jun-2024, 19-07","06-Jun-2024 19:08","00:00:54"
"KFINTECH","Kfin Technologies Limited","Abrdn Asia Limited","30-MAY-2024 to 30-MAY-2024","3359100",,"14857842","Reg29(2)","06-Jun-2024, 19-06","06-Jun-2024 19:08","00:01:46"
