"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME","DISSEMINATION","DIFFERENCE"
"AMRUTANJAN","Amrutanjan Health Care Limited","Nageswaramma Private Trust","28-MAY-2024 to 28-MAY-2024",,,"2508000","Reg29(2)","05-Jun-2024, 17-22","05-Jun-2024 17:24","00:01:09"
"PNBHOUSING","PNB Housing Finance Limited","General Atlantic Singapore Fund FII Pte. Ltd.","29-MAY-2024 to 29-MAY-2024",,"5800320","19704104","Reg29(2)","05-Jun-2024, 15-29","05-Jun-2024 15:30","00:01:03"
"IRB","IRB Infrastructure Developers Limited","IRB Holding Private Limited alongwith PAC","30-MAY-2024 to 30-MAY-2024",,"225000000","765578150","Reg29(2)","04-Jun-2024, 19-36","04-Jun-2024 19:38","00:01:39"
"USHAMART","Usha Martin Limited","Peterhouse Investments India Ltd","28-MAY-2024 to 28-MAY-2024",,"200000","14316529","Reg29(2)","04-Jun-2024, 18-32","04-Jun-2024 18:34","00:01:52"
"HATSUN","Hatsun Agro Product Limited","R G Chandramogan","28-MAY-2024 to 28-MAY-2024","29434",,"122241149","Reg29(2)","04-Jun-2024, 18-26","04-Jun-2024 18:28","00:01:27"
"UTTAMSUGAR","Uttam Sugar Mills Limited","Ranjana Chopra","27-MAY-2024 to 27-MAY-2024","262300",,"465601","Reg29(2)","04-Jun-2024, 18-22","04-Jun-2024 18:24","00:01:10"
"SPYL","Shekhawati Poly-Yarn Limited","SKI Buildcon Private Limited","28-MAY-2024 to 28-MAY-2024","2000000",,"33000000","Reg29(1)","04-Jun-2024, 18-21","04-Jun-2024 18:22","00:01:03"
"SPYL","Shekhawati Poly-Yarn Limited","SKI Buildcon Private Limited","28-MAY-2024 to 28-MAY-2024","2000000",,"33000000","Reg29(2)","04-Jun-2024, 18-18","04-Jun-2024 18:20","00:01:13"
"SOMANYCERA","Somany Ceramics Limited","Franklin Templeton Mutual Fund (through its various schemes)","24-MAY-2024 to 24-MAY-2024","2815",,"2051663","Reg29(1)","04-Jun-2024, 18-18","04-Jun-2024 18:18","00:00:06"
"SPYL","Shekhawati Poly-Yarn Limited","Mukesh Ramniranjan Ruia - HUF","28-MAY-2024 to 28-MAY-2024",,"2000000","16000000","Reg29(2)","04-Jun-2024, 18-06","04-Jun-2024 18:08","00:01:40"
"GRASIM","Grasim Industries Limited","Birla Group Holdings Private Limited","24-MAY-2024 to 24-MAY-2024","27809466",,"157782973","Reg29(2)","04-Jun-2024, 17-57","04-Jun-2024 17:58","00:00:39"
"CONCORDBIO","Concord Biotech Limited","1575773 Ontario Inc","28-MAY-2024 to 28-MAY-2024",,"3548211","2092325","Reg29(2)","04-Jun-2024, 17-53","04-Jun-2024 17:54","00:00:09"
"TIMKEN","Timken India Limited","Timken Singapore Pte Ltd.","28-MAY-2024 to 28-MAY-2024",,"5000000","38399988","Reg29(2)","04-Jun-2024, 17-51","04-Jun-2024 17:52","00:00:16"
"YESBANK","Yes Bank Limited","Catalyst Trusteeship Limited","02-MAY-2024 to 02-MAY-2024",,"984000000","864077851","Reg29(2)","04-Jun-2024, 17-48","04-Jun-2024 17:50","00:01:56"
"SEPC","SEPC Limited","Mark AB Welfare Trust alongwith PAC","24-MAY-2024 to 24-MAY-2024","37656904",,"180292857","Reg29(2)","04-Jun-2024, 17-45","04-Jun-2024 17:46","00:00:21"
"SPMLINFRA","SPML Infra Limited","SPML Industries Ltd","23-MAY-2024 to 23-MAY-2024","479504",,,"Reg29(2)","04-Jun-2024, 17-27","04-Jun-2024 17:28","00:01:04"
"PNBHOUSING","PNB Housing Finance Limited","Asia Opportunities V (Mauritius) Limited","29-MAY-2024 to 29-MAY-2024",,"5800320","19849686","Reg29(2)","31-May-2024, 15-53","31-May-2024 15:54","00:00:52"
"CYIENT","Cyient Limited","Amansa Investments Limited, Amansa Holdings Private Limited, Amansa Investments LTD-FDI","23-MAY-2024 to 23-MAY-2024",,"101000","3374471","Reg29(2)","30-May-2024, 21-13","30-May-2024 21:14","00:00:40"
"SAFARI","Safari Industries (India) Limited","Malabar India Fund Limited","28-JUN-2022 to 21-MAY-2024",,"721001","3130425","Reg29(2)","30-May-2024, 21-12","30-May-2024 21:14","00:01:41"
"GOKULAGRO","Gokul Agro Resources Limited","Ritika Infracon Private Limited","24-MAY-2024 to 24-MAY-2024","35000",,"1632200","Reg29(2)","30-May-2024, 21-09","30-May-2024 21:10","00:00:24"
"INDOSTAR","IndoStar Capital Finance Limited","Florintree Tecserv LLP","26-MAY-2024 to 26-MAY-2024","10869565",,"10869565","Reg29(1)","30-May-2024, 21-08","30-May-2024 21:10","00:01:54"
"STEELCITY","Steel City Securities Limited","Dr. PYLA MADHU","23-MAY-2024 to 24-MAY-2024","5052",,"56352","Reg29(2)","30-May-2024, 21-07","30-May-2024 21:08","00:00:50"
"GLAND","Gland Pharma Limited","HDFC Mutual Fund","27-MAY-2024 to 27-MAY-2024","585086",,"8370844","Reg29(1)","30-May-2024, 21-05","30-May-2024 21:06","00:00:39"
"ECLERX","eClerx Services Limited","HDFC Mutual Fund","27-MAY-2024 to 27-MAY-2024","875469",,"4562921","Reg29(2)","30-May-2024, 21-04","30-May-2024 21:06","00:01:29"
"SURANAT&P","Surana Telecom and Power Limited","Narender Surana alongwith PAC","29-JUN-2019 to 27-MAY-2024","340134","3094363","99065738","Reg29(2)","30-May-2024, 20-59","30-May-2024 21:00","00:00:58"
"SKIL","SKIL Infrastructure Limited","Mr. Dilip Madhavji Thakkar alongwith PAC","27-MAY-2024 to 27-MAY-2024","48377",,"16703123","Reg29(2)","30-May-2024, 20-56","30-May-2024 20:58","00:01:42"
"ABCAPITAL","Aditya Birla Capital Limited","Birla Group Holdings Private Limited","24-MAY-2024 to 24-MAY-2024","37444766",,"221950922","Reg29(2)","30-May-2024, 20-55","30-May-2024 20:56","00:00:37"
"KESORAMIND","Kesoram Industries Limited","Birla Group Holdings Private Limited","24-MAY-2024 to 24-MAY-2024","3637913",,"3637913","Reg29(1)","30-May-2024, 20-52","30-May-2024 20:54","00:01:22"
"JAYSREETEA","Jayshree Tea & Industries Limited","Birla Group Holdings Private Limited","24-MAY-2024 to 24-MAY-2024","70000",,"70000","Reg29(1)","30-May-2024, 20-51","30-May-2024 20:52","00:00:18"
"PILANIINVS","Pilani Investment and Industries Corporation Limited","Birla Group Holdings Private Limited","24-MAY-2024 to 24-MAY-2024","3841871",,"3841871","Reg29(1)","30-May-2024, 20-48","30-May-2024 20:50","00:01:28"
"IDEA","Vodafone Idea Limited","Birla Group Holdings Private Limited","24-MAY-2024 to 24-MAY-2024","353798538",,"353798538","Reg29(1)","30-May-2024, 20-47","30-May-2024 20:48","00:00:22"
"ABFRL","Aditya Birla Fashion and Retail Limited","Birla Group Holdings Private Limited","24-MAY-2024 to 24-MAY-2024","65066998",,"236619965","Reg29(2)","30-May-2024, 20-46","30-May-2024 20:48","00:01:13"
"HINDALCO","Hindalco Industries Limited","Birla Group Holdings Private Limited","24-MAY-2024 to 24-MAY-2024","27330360",,"255622668","Reg29(2)","30-May-2024, 20-46","30-May-2024 20:46","00:00:04"
"ULTRACEMCO","UltraTech Cement Limited","Birla Group Holdings Private Limited","24-MAY-2024 to 24-MAY-2024","1",,"4","Reg29(2)","30-May-2024, 20-43","30-May-2024 20:44","00:00:39"
"SUVEN","Suven Life Sciences Limited","Sudharani Jasti","28-MAY-2024 to 28-MAY-2024","1525535",,"1528535","Reg29(2)","30-May-2024, 20-39","30-May-2024 20:40","00:00:27"
"NAZARA","Nazara Technologies Limited","Mitter Infotech LLP","27-MAY-2024 to 27-MAY-2024",,"4884000","5642450","Reg29(2)","30-May-2024, 20-38","30-May-2024 20:40","00:01:13"
"NAZARA","Nazara Technologies Limited","Plutus Wealth Management LLP alongwith PAC","02-MAR-2024 to 27-MAY-2024","5604408",,"10107580","Reg29(2)","30-May-2024, 20-38","30-May-2024 20:40","00:01:58"
"CENTURYTEX","Century Textiles & Industries Limited","Birla Group Holdings Private Limited","24-MAY-2024 to 24-MAY-2024","7560900",,"7560900","Reg29(1)","30-May-2024, 20-34","30-May-2024 20:36","00:01:37"
"INTLCONV","International Conveyors Limited","Surbhit Dabriwala","23-MAY-2024 to 23-MAY-2024",,"2730000","6253980","Reg29(2)","30-May-2024, 20-33","30-May-2024 20:34","00:00:27"
"INTLCONV","International Conveyors Limited","I.G.E (India) Private LTd","23-MAY-2024 to 23-MAY-2024","2730000",,"31700560","Reg29(2)","30-May-2024, 20-32","30-May-2024 20:34","00:01:15"
"SHUBHLAXMI","Shubhlaxmi Jewel Art Limited","Soham Narendrasinh Chauhan","27-MAY-2024 to 27-MAY-2024",,"98000","1333000","Reg29(2)","30-May-2024, 20-22","30-May-2024 20:24","00:01:29"
"PFOCUS","Prime Focus Limited","Sheen Metals and Finvest Private Limited","24-MAY-2024 to 24-MAY-2024","21100000",,"21100000","Reg29(1)","30-May-2024, 20-21","30-May-2024 20:22","00:00:26"
"PRUDENT","Prudent Corporate Advisory Services Limited","TA FDI Investors Ltd","28-MAY-2024 to 28-MAY-2024",,"2916961","0","Reg29(2)","30-May-2024, 20-20","30-May-2024 20:22","00:01:16"
"MWL","Mangalam Worldwide Limited","Omprakash Mangal","24-MAY-2024 to 24-MAY-2024",,"36000","474200","Reg29(2)","29-May-2024, 14-38","29-May-2024 14:40","00:01:12"
"CCCL","Consolidated Construction Consortium Limited","S. Sivaramakrishnan   R. Sarabeswar","24-MAY-2024 to 24-MAY-2024","17307176",,"234909879","Reg29(2)","29-May-2024, 14-36","29-May-2024 14:36","00:00:04"
"JKCEMENT","JK Cement Limited","Smt.Kalpana Singhania","24-MAY-2024 to 24-MAY-2024",,"1000","368200","Reg29(2)","28-May-2024, 19-32","28-May-2024 19:34","00:01:29"
"STARHEALTH","Star Health And Allied Insurance Company Limited","APIS Growth 6 Ltd","23-MAY-2024 to 23-MAY-2024",,"15258134","0","Reg29(2)","28-May-2024, 19-30","28-May-2024 19:32","00:01:23"
"RMDRIP","R M Drip and Sprinklers Systems Limited","Kunal Haresh Mehta","22-APR-2024 to 22-APR-2024","300000",,"750000","Reg29(2)","28-May-2024, 19-28","28-May-2024 19:30","00:01:13"
"THOMASCOTT","Thomas Scott (India) Limited","Brijgopal bang","23-APR-2024 to 23-APR-2024","0",,"3306900","Reg29(2)","28-May-2024, 19-26","28-May-2024 19:26","00:00:05"
"GRSE","Garden Reach Shipbuilders & Engineers Limited","HDFC Mutual Fund","23-MAY-2024 to 23-MAY-2024",,"2531997","3511731","Reg29(2)","28-May-2024, 19-21","28-May-2024 19:22","00:00:07"
"IMFA","Indian Metals & Ferro Alloys Limited","Fox Consulting Services Pvt Ltd","23-MAY-2024 to 23-MAY-2024",,"85692","32319","Reg29(2)","28-May-2024, 19-19","28-May-2024 19:20","00:00:09"
"UDS","Updater Services Limited","RAGHUNANDANA TANGIRALA","24-MAY-2024 to 24-MAY-2024","99282",,"15948461","Reg29(2)","28-May-2024, 19-14","28-May-2024 19:16","00:01:07"
"JKCEMENT","JK Cement Limited","Dr. Nidhipati Singhania","22-MAY-2024 to 22-MAY-2024","1000",,"46728","Reg29(2)","28-May-2024, 19-11","28-May-2024 19:12","00:00:49"
"HUBTOWN","Hubtown Limited","Catalyst Trusteeship Limited","06-FEB-2019 to 24-MAY-2024",,"1786171","2961854","Reg29(2)","28-May-2024, 19-07","28-May-2024 19:08","00:00:41"
"MWL","Mangalam Worldwide Limited","Omprakash Mangal","22-MAY-2024 to 23-MAY-2024",,"72000","510200","Reg29(2)","28-May-2024, 14-36","28-May-2024 14:38","00:01:36"
"GOKULAGRO","Gokul Agro Resources Limited","Ritika Infracon Private Ltd along with pac","23-MAY-2024 to 23-MAY-2024","34900",,"108661974","Reg29(2)","28-May-2024, 14-31","28-May-2024 14:32","00:00:55"
"JASH","Jash Engineering Limited","Rhutvik Patel","22-MAY-2024 to 23-MAY-2024",,"3205","18758","Reg29(2)","28-May-2024, 12-53","28-May-2024 12:54","00:00:18"
"APOLLOTYRE","Apollo Tyres Limited","Emerald Sage Investment Ltd","22-MAY-2024 to 22-MAY-2024",,"22474903","63050966","Reg29(2)","28-May-2024, 12-50","28-May-2024 12:52","00:02:01"
"APOLLOTYRE","Apollo Tyres Limited","White Iris Investment Ltd","22-MAY-2024 to 22-MAY-2024",,"22474903","63050966","Reg29(2)","28-May-2024, 12-47","28-May-2024 12:48","00:00:55"
"APOLLOTYRE","Apollo Tyres Limited","White Iris Investment Ltd","22-MAY-2024 to 22-MAY-2024",,"22474903","63050966","Reg29(2)","28-May-2024, 12-39","28-May-2024 12:40","00:01:02"
"MEP","MEP Infrastructure Developers Limited","A J Tolls Private Limited","19-APR-2024 to 19-APR-2024",,"100000","14650432","Reg29(2)","28-May-2024, 12-34","28-May-2024 12:36","00:01:34"
"APOLLOTYRE","Apollo Tyres Limited","Emerald Sage Investment Ltd","22-MAY-2024 to 22-MAY-2024",,"22474903","63050966","Reg29(2)","28-May-2024, 12-27","28-May-2024 12:28","00:00:53"
"SEPC","SEPC Limited","SBICAP  Trustee Company Ltd","22-MAY-2024 to 22-MAY-2024",,"37656904","0","Reg29(2)","28-May-2024, 12-17","28-May-2024 12:18","00:00:27"
"USHAMART","Usha Martin Limited","Nidhi Rajgarhia","22-MAY-2024 to 22-MAY-2024",,"2000","279250","Reg29(2)","28-May-2024, 12-14","28-May-2024 12:16","00:01:25"
"IBREALEST","Indiabulls Real Estate Limited","Bellanza Developers Private Limited","21-MAY-2024 to 21-MAY-2024","896781",,"896781","Reg29(2)","28-May-2024, 12-10","28-May-2024 12:12","00:01:16"
"GESHIP","The Great Eastern Shipping Company Limited","nalanda india Equity Fund Ltd","22-MAY-2024 to 22-MAY-2024",,"543958","4250419","Reg29(2)","28-May-2024, 11-51","28-May-2024 11:52","00:01:01"
"APTUS","Aptus Value Housing Finance India Limited","Westbridge Crossover Fund LLC","21-MAY-2024 to 21-MAY-2024",,"24773019","147177233","Reg29(2)","28-May-2024, 11-42","28-May-2024 11:44","00:01:13"
"APTUS","Aptus Value Housing Finance India Limited","JIH II, LLC","21-MAY-2024 to 21-MAY-2024",,"10153093","0","Reg29(2)","28-May-2024, 11-35","28-May-2024 11:36","00:00:45"
"DRREDDY","Dr. Reddy's Laboratories Limited","APS Trust","22-MAY-2024 to 22-MAY-2024",,"34345308","0","Reg29(2)","27-May-2024, 19-35","27-May-2024 19:36","00:00:39"
"DRREDDY","Dr. Reddy's Laboratories Limited","K Satish Reddy and G V Prasad alongwith PACs","22-MAY-2024 to 22-MAY-2024","34345308",,"44461128","Reg29(2)","27-May-2024, 19-33","27-May-2024 19:34","00:00:42"
"STEELCITY","Steel City Securities Limited","Satish Kumar Arya","21-MAY-2024 to 23-MAY-2024","7000",,"1655209","Reg29(2)","27-May-2024, 19-27","27-May-2024 19:28","00:00:22"
"BBL","Bharat Bijlee Limited","Hardik  B Patel","21-MAY-2024 to 21-MAY-2024",,"25000","562910","Reg29(2)","27-May-2024, 19-24","27-May-2024 19:26","00:01:58"
"IBREALEST","Indiabulls Real Estate Limited","NCL SG Holdings Pte. Ltd.","21-MAY-2024 to 21-MAY-2024","33629271",,"33629271","Reg29(1)","27-May-2024, 19-20","27-May-2024 19:22","00:01:07"
"SHALPAINTS","Shalimar Paints Limited","Catalyst Trusteeship Limited","21-MAY-2024 to 21-MAY-2024","18146429",,"36192174","Reg29(2)","27-May-2024, 19-18","27-May-2024 19:20","00:01:24"
"NAVA","NAVA LIMITED","Raj Family Trust (represented by Devineni Ashok, Managing Trustee and Rajashree Pinnamaneni, Trustee)","22-MAY-2024 to 22-MAY-2024","7077200",,"7077200","Reg29(2)","27-May-2024, 19-16","27-May-2024 19:18","00:01:43"
"NAVA","NAVA LIMITED","Devineni Bhakata Priya","22-MAY-2024 to 22-MAY-2024",,"7077200","2741610","Reg29(2)","27-May-2024, 19-12","27-May-2024 19:14","00:01:16"
"NAUKRI","Info Edge (India) Limited","Axis Mutual Fund (through Scheme of Axis Mutual Fund)","21-MAY-2024 to 21-MAY-2024",,"165687","3810188","Reg29(2)","27-May-2024, 19-09","27-May-2024 19:10","00:00:35"
"USHAMART","Usha Martin Limited","Peterhouse Investments India Ltd","21-MAY-2024 to 22-MAY-2024",,"200000","14516529","Reg29(2)","27-May-2024, 19-06","27-May-2024 19:08","00:01:52"
"SKIL","SKIL Infrastructure Limited","Mr. Dilip Madhavji Thakkar alongwith PAC","13-MAY-2024 to 13-MAY-2024","25616",,"16654746","Reg29(2)","27-May-2024, 19-04","27-May-2024 19:06","00:01:58"
"APTUS","Aptus Value Housing Finance India Limited","SBI Mutual Fund under its various schemes","21-MAY-2024 to 21-MAY-2024","18232992",,"37772090","Reg29(1)","27-May-2024, 19-00","27-May-2024 19:02","00:01:58"
"SHERA","Shera Energy Limited","SUMIT SINGH","21-MAY-2024 to 21-MAY-2024",,"1000","9000","Reg29(2)","27-May-2024, 18-53","27-May-2024 18:54","00:00:15"
"BHAGCHEM","Bhagiradha Chemicals & Industries Limited","Singavarapu Chandra Sekhar","10-MAY-2024 to 10-MAY-2024","550520",,"16452460","Reg29(2)","27-May-2024, 18-49","27-May-2024 18:50","00:00:36"
"SOLEX","Solex Energy Limited","Chetan Sureshchandra shah","13-MAY-2024 to 13-MAY-2024","100030",,"589965","Reg29(2)","27-May-2024, 17-56","27-May-2024 17:58","00:02:01"
"IDEA","Vodafone Idea Limited","Oriana Investments Pte Ltd","22-MAY-2024 to 22-MAY-2024","1395427034",,"4388598920","Reg29(2)","27-May-2024, 17-26","27-May-2024 17:28","00:01:53"
"IDEA","Vodafone Idea Limited","Oriana Investments Pte Ltd","22-MAY-2024 to 22-MAY-2024","1395427034",,"4388598920","Reg29(1)","27-May-2024, 17-24","27-May-2024 17:26","00:01:50"
"TEXINFRA","Texmaco Infrastructure & Holdings Limited","Hardik  B Patel","16-MAY-2024 to 16-MAY-2024",,"1020766","11435267","Reg29(2)","24-May-2024, 12-46","24-May-2024 12:48","00:01:49"
"ARTEMISMED","Artemis Medicare Services Limited","International Finance Corporation","16-MAY-2024 to 16-MAY-2024","33000",,"33000","Reg29(1)","24-May-2024, 12-45","24-May-2024 12:46","00:00:41"
"KIRLPNU","Kirloskar Pneumatic Company Limited","Kirloskar Systems Private Limited","18-MAY-2024 to 18-MAY-2024","2010",,"2010","Reg29(2)","24-May-2024, 12-44","24-May-2024 12:46","00:01:30"
"ABSMARINE","ABS Marine Services Limited","RAJASTHAN GLOBAL SECURITIES PVT. LTD. alongwith PACs","21-MAY-2024 to 21-MAY-2024","676000",,"3070000","Reg29(1)","24-May-2024, 12-43","24-May-2024 12:44","00:00:21"
"RBA","Restaurant Brands Asia Limited","Nippon Life India Trustee Limited A/c through various schemes of Nippon India Mutual Fund","04-DEC-2020 to 17-MAY-2024","2865072",,"26008229","Reg29(1)","24-May-2024, 12-42","24-May-2024 12:44","00:01:08"
"JASH","Jash Engineering Limited","Chintan Patel","17-MAY-2024 to 17-MAY-2024",,"5000","221796","Reg29(2)","24-May-2024, 12-42","24-May-2024 12:44","00:01:56"
"USHAMART","Usha Martin Limited","Nidhi Rajgarhia","18-MAY-2024 to 18-MAY-2024",,"4000","281250","Reg29(2)","21-May-2024, 17-53","21-May-2024 17:54","00:00:56"
"VERANDA","Veranda Learning Solutions Limited","Catalyst Trusteeship Limited","15-MAY-2024 to 15-MAY-2024","3096378",,"14169855","Reg29(2)","21-May-2024, 17-52","21-May-2024 17:54","00:01:43"
"JASH","Jash Engineering Limited","Patamin Investments Private Limited","16-MAY-2024 to 17-MAY-2024",,"7500","515300","Reg29(2)","21-May-2024, 17-51","21-May-2024 17:52","00:00:38"
"CCCL","Consolidated Construction Consortium Limited","S. Sivaramakrishnan and R. Sarabeswar","17-MAY-2024 to 17-MAY-2024","53539765",,"217602703","Reg29(2)","21-May-2024, 17-50","21-May-2024 17:52","00:01:24"
"KIRLOSENG","Kirloskar Oil Engines Limited","Kirloskar Systems Private Limited","16-MAY-2024 to 16-MAY-2024","2070",,"2070","Reg29(2)","21-May-2024, 17-49","21-May-2024 17:50","00:00:16"
"MWL","Mangalam Worldwide Limited","Omprakash mangal","15-MAY-2024 to 16-MAY-2024",,"68400","582200","Reg29(2)","21-May-2024, 17-49","21-May-2024 17:50","00:01:04"
"HUBTOWN","Hubtown Limited","Catalyst trusteeship ltd","05-FEB-2019 to 15-MAY-2024",,"2015000","2733025","Reg29(2)","21-May-2024, 17-48","21-May-2024 17:50","00:01:58"
"USHAMART","Usha Martin Limited","Peterhouse investments India Ltd","16-MAY-2024 to 17-MAY-2024",,"170000","14716529","Reg29(2)","21-May-2024, 17-47","21-May-2024 17:48","00:00:49"
"WANBURY","Wanbury Limited","SBICAP Trustee Company Limited (STCL)","15-MAY-2024 to 15-MAY-2024","85000",,"9998304","Reg29(2)","21-May-2024, 17-46","21-May-2024 17:48","00:01:32"
"RMDRIP","R M Drip and Sprinklers Systems Limited","Kunal Haresh Mehta","14-MAY-2024 to 14-MAY-2024","3030000",,"3780000","Reg29(2)","21-May-2024, 17-45","21-May-2024 17:46","00:00:29"
"RMDRIP","R M Drip and Sprinklers Systems Limited","Petel Mayankkumar Dipakbhai alongwith PAC","14-MAY-2024 to 14-MAY-2024","630000",,"630000","Reg29(2)","21-May-2024, 17-44","21-May-2024 17:46","00:01:17"
"RMDRIP","R M Drip and Sprinklers Systems Limited","Shaila Sakharam Kedar","14-MAY-2024 to 14-MAY-2024","820000",,"1524000","Reg29(2)","21-May-2024, 17-44","21-May-2024 17:46","00:02:00"
"USHAMART","Usha Martin Limited","Peterhouse Investments India Limited","15-MAY-2024 to 15-MAY-2024",,"130000","14886529","Reg29(2)","21-May-2024, 17-43","21-May-2024 17:44","00:00:48"
"PVRINOX","PVR INOX Limited","Prudential plc and its subsidiary companies","10-MAY-2024 to 10-MAY-2024","175336",,"5049573","Reg29(1)","21-May-2024, 16-57","21-May-2024 16:58","00:00:49"
"PVRINOX","PVR INOX Limited","ICICI Prudential Mutual Fund","05-APR-2024 to 15-MAY-2024","2056822",,"6973961","Reg29(2)","16-May-2024, 20-19","16-May-2024 20:20","00:00:44"
"HSCL","Himadri Speciality Chemical Limited","Amit Choudhary","14-MAY-2024 to 14-MAY-2024","4000000",,"4000000","Reg29(2)","16-May-2024, 20-14","16-May-2024 20:16","00:01:11"
"RMDRIP","R M Drip and Sprinklers Systems Limited","Nivrutti Pandurang Kedar alongwith PAC","14-MAY-2024 to 14-MAY-2024","0",,"2711027","Reg29(2)","16-May-2024, 16-32","16-May-2024 16:34","00:01:49"
"LLOYDSENGG","LLOYDS ENGINEERING WORKS LIMITED","Renu R Gupta","15-MAY-2024 to 15-MAY-2024",,"58471","14249","Reg29(2)","16-May-2024, 16-31","16-May-2024 16:32","00:00:47"
"RMDRIP","R M Drip and Sprinklers Systems Limited","Hitesh N Kawa alongwith PAC","14-MAY-2024 to 14-MAY-2024","0",,"4874000","Reg29(2)","16-May-2024, 16-30","16-May-2024 16:32","00:01:44"
"HINDZINC","Hindustan Zinc Limited","Axis Trustee Services Limited (as the debenture trustee)","14-MAY-2024 to 14-MAY-2024","42790960",,"366002818","Reg29(2)","16-May-2024, 16-29","16-May-2024 16:30","00:00:41"
"HEADSUP","Heads UP Ventures Limited","Purushottam Chhaganlal Mandhana (HUF)","14-MAY-2024 to 14-MAY-2024",,"562","682770","Reg29(2)","16-May-2024, 16-28","16-May-2024 16:30","00:01:30"
"LLOYDSENGG","LLOYDS ENGINEERING WORKS LIMITED","Ravi Agarwal","15-MAY-2024 to 15-MAY-2024","58471",,"58471","Reg29(2)","16-May-2024, 16-27","16-May-2024 16:28","00:00:28"
"ERIS","Eris Lifesciences Limited","HDFC Mutual Fund","14-MAY-2024 to 14-MAY-2024","2721065",,"9696364","Reg29(2)","16-May-2024, 16-26","16-May-2024 16:28","00:01:23"
"MWL","Mangalam Worldwide Limited","Omprakash mangal","13-MAY-2024 to 14-MAY-2024",,"74400","650600","Reg29(2)","16-May-2024, 16-25","16-May-2024 16:26","00:00:18"
"INFY","Infosys Limited","Bhairavi Madhusudhan Shibulal","15-MAY-2024 to 15-MAY-2024",,"361302","5660414","Reg29(2)","16-May-2024, 12-32","16-May-2024 12:34","00:01:42"
"RATNAMANI","Ratnamani Metals & Tubes Limited","HSBC Mutual Fund","13-MAY-2024 to 13-MAY-2024",,"190121","2234668","Reg29(2)","15-May-2024, 20-21","15-May-2024 20:22","00:00:44"
"INDGN","Indegene Limited","Deutsche Bank AG, Singapore Branch (as security agent)","13-MAY-2024 to 13-MAY-2024","34739187",,"34739187","Reg29(1)","15-May-2024, 20-20","15-May-2024 20:22","00:01:28"
"CIPLA","Cipla Limited","Okasa Pharma Private Limited","15-MAY-2024 to 15-MAY-2024",,"189375","0","Reg29(2)","15-May-2024, 12-20","15-May-2024 12:22","00:01:37"
"ASTEC","Astec LifeSciences Limited","ICICI Prudential Mutual Fund","01-AUG-2023 to 13-MAY-2024",,"396042","620187","Reg29(2)","14-May-2024, 21-00","14-May-2024 21:02","00:01:20"
"ASHOKAMET","Ashoka Metcast Limited","Mita Harshul Shah","13-MAY-2024 to 13-MAY-2024",,"250000","500000","Reg29(2)","14-May-2024, 20-59","14-May-2024 21:00","00:00:14"
"SKIL","SKIL Infrastructure Limited","Dilip Madhavji Thakkar","13-MAY-2024 to 13-MAY-2024","22800",,"16629130","Reg29(2)","14-May-2024, 20-59","14-May-2024 21:00","00:01:01"
"JINDALSAW","Jindal Saw Limited","Shradha Jatia","10-MAY-2024 to 10-MAY-2024","18700",,"881996","Reg29(2)","14-May-2024, 13-09","14-May-2024 13:10","00:00:48"
"INDIAMART","Indiamart Intermesh Limited","Arisaig Partners (Asia) Pte Ltd, Investment Manager","10-MAY-2024 to 10-MAY-2024",,"90000","1827704","Reg29(2)","14-May-2024, 13-08","14-May-2024 13:10","00:01:41"
"CCCL","Consolidated Construction Consortium Limited","S. Sivaramakrishnan and R. Sarabeswar.","09-MAY-2024 to 09-MAY-2024","116949462",,"164062938","Reg29(2)","14-May-2024, 13-07","14-May-2024 13:08","00:00:39"
"MWL","Mangalam Worldwide Limited","Om Prakash Mangal","10-MAY-2024 to 10-MAY-2024",,"24000","725000","Reg29(2)","14-May-2024, 13-06","14-May-2024 13:08","00:01:32"
"LLOYDSENGG","LLOYDS ENGINEERING WORKS LIMITED","Mukeh R Gupta","10-MAY-2024 to 10-MAY-2024","43002",,"50514","Reg29(2)","14-May-2024, 13-05","14-May-2024 13:06","00:00:30"
"BLUEPEBBLE","Blue Pebble Limited","RAJASTHAN GLOBAL SECURITIES PVT.LTD","10-MAY-2024 to 10-MAY-2024",,"20000","113600","Reg29(2)","14-May-2024, 13-04","14-May-2024 13:06","00:01:23"
"MWL","Mangalam Worldwide Limited","Omprakash mangal","09-MAY-2024 to 09-MAY-2024",,"39600","749000","Reg29(2)","14-May-2024, 13-03","14-May-2024 13:04","00:00:15"
