"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"118","Bandhan Bank Ltd","BANDHANBNK","P&F | F.A","-0.86%","194.79","6,506,835"
"128","Devyani International Ltd","DEVYANI","P&F | F.A","-0.86%","178.5","1,268,959"
"19","Gufic Biosciences Limited","GUFICBIO","P&F | F.A","-0.88%","367.4","67,942"
"88","L T Foods Ltd","LTFOODS","P&F | F.A","-0.92%","244.13","651,528"
"138","Uniphos Enterprises Limited","UNIENTER","P&F | F.A","-0.92%","163.1","6,790"
"176","Sikko Industries Ltd","SIKKO","P&F | F.A","-0.95%","96.09","39,854"
"93","Gic Housing Finance Limited","GICHSGFIN","P&F | F.A","-0.99%","239.31","339,296"
"132","The Federal Bank  Limited","FEDERALBNK","P&F | F.A","-1%","172.12","9,126,979"
"110","Texmaco Rail & Engineering Limited","TEXRAIL","P&F | F.A","-1.05%","209.61","2,908,043"
"187","Ifci Limited","IFCI","P&F | F.A","-1.11%","64.02","26,413,344"
"36","Huhtamaki India Ltd","HUHTAMAKI","P&F | F.A","-1.14%","329","38,365"
"3","Rane Engine Valve Limited","RANEENGINE","P&F | F.A","-1.16%","393.55","3,631"
"48","Rallis India Limited","RALLIS","P&F | F.A","-1.17%","315.45","662,363"
"164","Bal Pharma Limited","BALPHARMA","P&F | F.A","-1.17%","119.37","19,676"
"157","Donear Industries Limited","DONEAR","P&F | F.A","-1.2%","127.69","352,187"
"144","Nbcc (india) Limited","NBCC","P&F | F.A","-1.21%","155.77","19,914,532"
"11","Hindware Home Innovation Ltd","HINDWAREAP","P&F | F.A","-1.24%","381.8","87,725"
"137","Zee Entertainment Enterprises Limited","ZEEL","P&F | F.A","-1.24%","164.74","18,266,083"
"79","Engineers India Limited","ENGINERSIN","P&F | F.A","-1.27%","252.71","6,044,234"
"92","Electronics Mart India Ltd","EMIL","P&F | F.A","-1.32%","239.54","479,716"
"182","Jain Irrigation Systems Limited","JISLJALEQS","P&F | F.A","-1.33%","77.07","5,903,306"
"190","Ashima Limited","ASHIMASYN","P&F | F.A","-1.36%","35.6","854,398"
"63","Jayant Agro Organics Limited","JAYAGROGN","P&F | F.A","-1.42%","268","31,149"
"184","Tera Software Ltd","TERASOFT","P&F | F.A","-1.42%","72.75","83,577"
"39","Ncc Limited","NCC","P&F | F.A","-1.48%","327.3","2,773,915"
"123","Shiva Texyarn Ltd","SHIVATEX","P&F | F.A","-1.5%","182.01","17,923"
"58","Greenply Industries Limited","GREENPLY","P&F | F.A","-1.52%","282","261,567"
"68","Bhagiradha Chemicals & Industries Ltd","BHAGCHEM","P&F | F.A","-1.56%","259.52","281,792"
"86","Cords Cable Industries Limited","CORDSCABLE","P&F | F.A","-1.65%","245.5","77,226"
"154","Almondz Global Securities Limited","ALMONDZ","P&F | F.A","-1.71%","133.16","98,639"
"74","Shipping Corporation Of India Limited","SCI","P&F | F.A","-1.72%","255.3","2,926,942"
"15","Liberty Shoes Limited","LIBERTSHOE","P&F | F.A","-1.74%","375.65","59,627"
"45","Responsive Industries Limited","RESPONIND","P&F | F.A","-1.74%","319.5","194,437"
"139","Gokul Agro Resources Limited","GOKULAGRO","P&F | F.A","-1.95%","161.31","229,413"
"28","Ge Power India Limited","GEPIL","P&F | F.A","-2.02%","346.8","246,476"
"140","Aditya Birla Money Limited","BIRLAMONEY","P&F | F.A","-2.18%","159.8","406,099"
"56","BEML Land Assets Ltd","BLAL","P&F | F.A","-2.2%","288.3","356,525"
"170","Orient Press Limited","ORIENTLTD","P&F | F.A","-2.32%","111.56","44,241"
"147","Dolat Algotech Ltd","DOLATALGO","P&F | F.A","-2.44%","148.3","547,591"
"183","GMR Power & Urban Infra Ltd","GMRP&UI","P&F | F.A","-2.48%","76.59","8,209,797"
"107","IIFL Securities Ltd","IIFLSEC","P&F | F.A","-2.64%","217.94","704,145"
"167","HEC Infra Projects Ltd","HECPROJECT","P&F | F.A","-4.13%","112.8","182,425"
"163","Panache Digilife Ltd","PANACHE","P&F | F.A","-7.39%","120.6","281,613"
