"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"72","Silver Touch Technologies Ltd","SILVERTUC","P&F | F.A","-0.18%","786.3","15,886"
"10","Alkem Laboratories Limited","ALKEM","P&F | F.A","-0.24%","5066.05","70,239"
"28","NGL Fine Chem Ltd","NGLFINE","P&F | F.A","-0.25%","2343.25","2,293"
"39","Finolex Cables Limited","FINCABLES","P&F | F.A","-0.25%","1552.4","108,015"
"93","Ion Exchange (India) Ltd","IONEXCHANG","P&F | F.A","-0.31%","526.1","118,244"
"12","Vadilal Industries Limited","VADILALIND","P&F | F.A","-0.35%","4592.35","6,781"
"69","Salzer Electronics Limited","SALZERELEC","P&F | F.A","-0.36%","813.4","39,850"
"114","Aspinwall And Company Limited","ASPINWALL","P&F | F.A","-0.37%","269.25","5,214"
"148","Kotak Silver ETF","SILVER1","P&F | F.A","-0.4%","87.48","19,587"
"57","Ahluwalia Contracts (india) Limited","AHLUCONT","P&F | F.A","-0.42%","1189.1","117,633"
"122","Kirloskar Electric Company Limited","KECL","P&F | F.A","-0.42%","190.33","247,342"
"44","Mazda Limited","MAZDA","P&F | F.A","-0.44%","1402","3,561"
"95","Fdc Limited","FDC","P&F | F.A","-0.44%","456.8","66,660"
"102","Sterling Tools Limited","STERTOOLS","P&F | F.A","-0.46%","370.85","55,266"
"11","Ingersoll Rand (india) Limited","INGERRAND","P&F | F.A","-0.47%","4622","7,051"
"58","Dynacons Systems & Solutions Limited","DSSL","P&F | F.A","-0.48%","1184.5","12,846"
"92","Saregama India Limited","SAREGAMA","P&F | F.A","-0.49%","547.4","119,101"
"80","Keystone Realtors Ltd","RUSTOMJEE","P&F | F.A","-0.5%","700","10,609"
"147","Axis Silver ETF","AXISILVER","P&F | F.A","-0.52%","89.55","16,485"
"142","HB Stockholdings Ltd","HBSL","P&F | F.A","-0.53%","101.1","12,537"
"106","Indian Hume Pipe Company Limited","INDIANHUME","P&F | F.A","-0.55%","350.35","66,451"
"65","Wonder Electricals Ltd","WEL","P&F | F.A","-0.6%","964.95","1,716"
"8","Skf India Limited","SKFINDIA","P&F | F.A","-0.61%","6199.55","91,016"
"76","Shoppers Stop Limited","SHOPERSTOP","P&F | F.A","-0.62%","748","4,632"
"117","Bigbloc Construction Limited","BIGBLOC","P&F | F.A","-0.62%","236.35","56,354"
"42","Bharat Dynamics Ltd","BDL","P&F | F.A","-0.63%","1412.4","814,186"
"96","Puravankara Projects Limited","PURVA","P&F | F.A","-0.64%","435.55","36,821"
"13","Sundaram Finance Limited","SUNDARMFIN","P&F | F.A","-0.66%","4519.05","83,013"
"150","Arihant Capital Markets Ltd","ARIHANTCAP","P&F | F.A","-0.67%","66.39","322,523"
"56","Mm Forgings Limited","MMFL","P&F | F.A","-0.71%","1213.2","32,842"
"160","Centrum Capital Ltd","CENTRUM","P&F | F.A","-0.72%","39.99","660,454"
"130","Lemon Tree Hotels Ltd","LEMONTREE","P&F | F.A","-0.73%","143.58","1,103,102"
"22","Shakti Pumps (india) Limited","SHAKTIPUMP","P&F | F.A","-0.74%","2579.8","43,188"
"75","Sterling & Wilson Renewable Energy Ltd","SWSOLAR","P&F | F.A","-0.74%","760.5","507,026"
"146","Umang Dairies Limited","UMANGDAIRY","P&F | F.A","-0.75%","94.46","27,097"
"30","Sml Isuzu Limited","SMLISUZU","P&F | F.A","-0.77%","2113.95","10,148"
"134","Kothari Petrochemicals Limited","KOTHARIPET","P&F | F.A","-0.78%","134.22","36,047"
"111","Smartlink Network Systems Limited","SMARTLINK","P&F | F.A","-0.83%","291","6,809"
"94","Welspun Enterprises Limited","WELENT","P&F | F.A","-0.89%","466.65","137,413"
"103","Indo Count Industries Limited","ICIL","P&F | F.A","-0.89%","365.5","100,053"
"27","Jash Engineering Ltd","JASH","P&F | F.A","-0.93%","2355.25","11,148"
"51","Affle India Ltd","AFFLE","P&F | F.A","-0.97%","1252.45","123,254"
"61","Eldeco Housing & Industries Ltd","ELDEHSG","P&F | F.A","-1.03%","1031.4","2,541"
"87","Aarti Pharmalabs Ltd","AARTIPHARM","P&F | F.A","-1.06%","600.15","67,738"
"110","Vardhman Special Steels Limited","VSSL","P&F | F.A","-1.11%","293.1","59,396"
"90","Arrow Greentech Limited","ARROWGREEN","P&F | F.A","-1.17%","567","50,142"
"139","Bal Pharma Limited","BALPHARMA","P&F | F.A","-1.17%","119.37","19,676"
"41","Macpower CNC Machines Ltd","MACPOWER","P&F | F.A","-1.19%","1466","11,713"
"78","Rategain Travel Technologies Ltd","RATEGAIN","P&F | F.A","-1.28%","731.4","499,307"
"36","Johnson Controls-Hitachi Air Condition. India Ltd","JCHAC","P&F | F.A","-1.3%","1836.8","43,904"
"164","Hindustan Motors Limited","HINDMOTORS","P&F | F.A","-1.46%","36.35","1,010,268"
"71","Wealth First Portfolio Managers Ltd","WEALTH","P&F | F.A","-1.5%","787.85","5,076"
"35","KPI Green Energy Ltd","KPIGREEN","P&F | F.A","-1.65%","1849.25","124,996"
"83","Hindustan Zinc Limited","HINDZINC","P&F | F.A","-1.94%","674.9","561,846"
"85","Websol Energy System Limited","WEBELSOLAR","P&F | F.A","-2.52%","639.95","82,527"
"128","Dolat Algotech Ltd","DOLATALGO","P&F | F.A","-2.62%","148.03","547,743"
"70","Dolphin Offshore Enterprises (India) Ltd","DOLPHIN","P&F | F.A","-3.1%","797.35","6,668"
