"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"SDBL","Som Distilleries & Breweries Limited","7(2)","DEEPAK ARORA","Promoters","Equity Shares","2922525","1.5",,"20000","2470548","Buy","Equity Shares","2942525","1.51","12-Jun-2024","12-Jun-2024","13-Jun-2024","Market Purchase","-","-","0","0","0","0","NSE","-","13-Jun-2024 11:37","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165771_1157044_13062024113746_WEB.xml"
"NAHARPOLY","Nahar Poly Films Limited","7(2)","NAHAR SPINNING MILLS LIMITED","Promoter Group","Equity Shares","4528223","18.42",,"17295","3459654","Buy","Equity Shares","4545518","18.49","11-Jun-2024","12-Jun-2024","13-Jun-2024","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","13-Jun-2024 11:37","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165770_1157042_13062024113659_WEB.xml"
"FIDEL","Fidel Softech Limited","7(2)","PRACHI SUNIL KULKARNI","Promoters","Equity Shares","2406000","17.5",,"1000","103400","Buy","Equity Shares","2407000","17.5","12-Jun-2024","12-Jun-2024","13-Jun-2024","Market Purchase","-","-","0","0","0","0","MSEI","-","13-Jun-2024 11:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165769_1157031_13062024111843_WEB.xml"
"POLYCAB","Polycab India Limited","7(2)","Puneet Anil Sehgal","Immediate relative","Equity Shares","140000","0.09",,"60000","0","Buy","Equity Shares","200000","0.13","07-Jun-2024","07-Jun-2024","11-Jun-2024","Gift","-","-","0","0","0","0","NA","-","13-Jun-2024 11:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165768_1157029_13062024111807_WEB.xml"
"BANSWRAS","Banswara Syntex Limited","7(2)","UDIT TOSHNIWAL","Promoter Group","Equity Shares","92516","0.27",,"8000","1163474","Sell","Equity Shares","84516","0.25","07-Jun-2024","07-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","BSE,NSE","-","13-Jun-2024 09:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165759_1156983_13062024091545_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","A. Pramod Kumar","Employees/Designated Employees","Equity Shares","165304","0.05",,"2519","1997645","Sell","Equity Shares","162785","0.05","11-Jun-2024","12-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 20:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165757_1156929_12062024083312_WEB.xml"
"THYROCARE","Thyrocare Technologies Limited","7(2)","Alok Kumar Jagnani","Key Managerial Personnel","Equity Shares","175","0",,"175","109550","Sell","Equity Shares","Nil","0","23-May-2024","23-May-2024","24-May-2024","Market Sale","-","-","0","0","0","0","BSE","-","12-Jun-2024 20:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165756_1156919_12062024080232_WEB.xml"
"THYROCARE","Thyrocare Technologies Limited","7(2)","Alok Kumar Jagnani","Key Managerial Personnel","Equity Shares","Nil","0",,"175","100275","Buy","Equity Shares","175","0","11-Aug-2023","11-Aug-2023","14-Aug-2023","Market Purchase","-","-","0","0","0","0","NSE","-","12-Jun-2024 20:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165755_1156917_12062024080103_WEB.xml"
"MWL","Mangalam Worldwide Limited","7(2)","OM PRAKASH MANGAL","Promoter Group","Equity Shares","457400","1.76",,"45600","6526620","Sell","Equity Shares","411800","1.58","10-Jun-2024","11-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 19:19","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165754_1156891_12062024071919_WEB.xml"
"THOMASCOOK","Thomas Cook  (India)  Limited","7(2)","Amit Baraskar","Employees/Designated Employees","Equity Shares","Nil","0",,"3500","482755","Buy","Equity Shares","3500","0","02-May-2024","02-May-2024","11-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 19:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165752_1156888_12062024071806_WEB.xml"
"THOMASCOOK","Thomas Cook  (India)  Limited","7(2)","LENNIE VENESSA JENNIFER MARIA FURTADO COLACO","Employees/Designated Employees","Equity Shares","11000","0",,"3000","611700","Sell","Equity Shares","8000","0","05-Jun-2024","05-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 19:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165752_1156888_12062024071806_WEB.xml"
"THOMASCOOK","Thomas Cook  (India)  Limited","7(2)","LENNIE VENESSA JENNIFER MARIA FURTADO COLACO","Employees/Designated Employees","Equity Shares","8000","0",,"2000","431000","Sell","Equity Shares","6000","0","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 19:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165752_1156888_12062024071806_WEB.xml"
"THOMASCOOK","Thomas Cook  (India)  Limited","7(2)","Amit J Parekh","Employees/Designated Employees","Equity Shares","24227","0.01",,"5000","1090000","Sell","Equity Shares","19227","0","12-Jun-2024","12-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 19:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165752_1156888_12062024071806_WEB.xml"
"THOMASCOOK","Thomas Cook  (India)  Limited","7(2)","Amit Baraskar","Employees/Designated Employees","Equity Shares","3500","0",,"3500","763000","Sell","Equity Shares","Nil","0","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 19:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165752_1156888_12062024071806_WEB.xml"
"HINDUNILVR","Hindustan Unilever Limited","7(2)","Sairam Subramanian","Employees/Designated Employees","Equity Shares","502","0",,"502","1290918","Sell","Equity Shares","Nil","0","10-Jun-2024","10-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 19:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165751_1156886_12062024071725_WEB.xml"
"GLAND","Gland Pharma Limited","7(2)","RONG WU","Employees/Designated Employees","Equity Shares","Nil","0",,"12000","6504000","Buy","Equity Shares","12000","0","07-Jun-2024","07-Jun-2024","10-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 19:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165749_1156880_12062024071114_WEB.xml"
"GLAND","Gland Pharma Limited","7(2)","PRAKASH BALIGA","Employees/Designated Employees","Equity Shares","14","0",,"13500","7317000","Buy","Equity Shares","13514","0","07-Jun-2024","07-Jun-2024","10-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 19:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165749_1156880_12062024071114_WEB.xml"
"GLAND","Gland Pharma Limited","7(2)","P B Ravindra Varma","Employees/Designated Employees","Equity Shares","Nil","0",,"8000","4336000","Buy","Equity Shares","8000","0","07-Jun-2024","07-Jun-2024","10-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 19:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165749_1156880_12062024071114_WEB.xml"
"GLAND","Gland Pharma Limited","7(2)","BH LENIN KUMAR RAJA","Employees/Designated Employees","Equity Shares","Nil","0",,"4500","2439000","Buy","Equity Shares","4500","0","07-Jun-2024","07-Jun-2024","10-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 19:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165749_1156880_12062024071114_WEB.xml"
"GLAND","Gland Pharma Limited","7(2)","T.V. SATYANARAYANA","Employees/Designated Employees","Equity Shares","Nil","0",,"2300","1246600","Buy","Equity Shares","2300","0","07-Jun-2024","07-Jun-2024","10-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 19:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165749_1156880_12062024071114_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Vineet Vedprakash Sood","-","Equity Shares","5112","0",,"262","372313","Sell","Equity Shares","4850","0","07-Jun-2024","07-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 19:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165748_1156878_12062024071056_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Vineet Vedprakash Sood","-","Equity Shares","4512","0",,"600","844200","Buy","Equity Shares","5112","0","07-Jun-2024","07-Jun-2024","11-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 19:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165748_1156878_12062024071056_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","RAVI KUMAR CHIRUGUDU","-","Equity Shares","Nil","0",,"1500","2110500","Buy","Equity Shares","1500","0","07-Jun-2024","07-Jun-2024","11-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 19:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165743_1156873_12062024070644_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Dashrath Singh Negi","-","Equity Shares","Nil","0",,"730","1027110","Buy","Equity Shares","730","0","07-Jun-2024","07-Jun-2024","11-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 19:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165743_1156873_12062024070644_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","GAURAV MAHESHWARI","-","Equity Shares","980","0",,"1537","2162559","Buy","Equity Shares","2517","0","07-Jun-2024","07-Jun-2024","11-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 19:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165743_1156873_12062024070644_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","RAJ KUMAR WALIA","-","Equity Shares","66","0",,"2881","4053567","Buy","Equity Shares","2947","0","07-Jun-2024","07-Jun-2024","11-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 19:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165743_1156873_12062024070644_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","HARSHDEEP ARORA","-","Equity Shares","1525","0",,"1537","2162559","Buy","Equity Shares","3062","0","07-Jun-2024","07-Jun-2024","11-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 19:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165743_1156873_12062024070644_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","Srivathsa G","-","Equity Shares","300","0",,"2305","3243135","Buy","Equity Shares","2605","0","07-Jun-2024","07-Jun-2024","11-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 19:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165743_1156873_12062024070644_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","PRAFUL JAIN","-","Equity Shares","541","0",,"1152","1620864","Buy","Equity Shares","1693","0","07-Jun-2024","07-Jun-2024","11-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 19:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165743_1156873_12062024070644_WEB.xml"
"JSLL","Jeena Sikho Lifecare Limited","7(2)","Manish Grover","Promoters","Equity Shares","16652448","66",,"350640","357347743","Sell","Equity Shares","16301808","65.57","07-Jun-2024","07-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 19:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165742_1156871_12062024070629_WEB.xml"
"JSLL","Jeena Sikho Lifecare Limited","7(2)","Bhavna Grover","Promoters","Equity Shares","212400","0.85",,"163800","166962978","Sell","Equity Shares","48600","0.2","07-Jun-2024","07-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 19:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165742_1156871_12062024070629_WEB.xml"
"ADVENZYMES","Advanced Enzyme Technologies Limited","7(2)","Advanced Vital Enzymes Private Limited","Promoter Group","Equity Shares","355600","0.32",,"121581","43953963","Sell","Equity Shares","234019","0.22","11-Jun-2024","11-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 19:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165739_1156866_12062024070058_WEB.xml"
"ADVENZYMES","Advanced Enzyme Technologies Limited","7(2)","Advanced Vital Enzymes Private Limited","Promoter Group","Equity Shares","432600","0.39",,"77000","27880160","Sell","Equity Shares","355600","0.32","10-Jun-2024","10-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 19:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165739_1156866_12062024070058_WEB.xml"
"ALKYLAMINE","Alkyl Amines Chemicals Limited","7(2)","Rakesh Goyal","Director","Equity Shares","8734","0.02",,"1000","1980000","Sell","Equity Shares","7734","0.02","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 18:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165736_1156862_12062024065639_WEB.xml"
"THOMASCOOK","Thomas Cook  (India)  Limited","7(3)","IDBI Trusteeship Services Limited","-","Equity Shares","5135853","1.09",,"3500","482755","Sell","Equity Shares","5132353","1.09","10-Jun-2024","10-Jun-2024","11-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 18:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165735_1156856_12062024065538_WEB.xml"
"WIPRO","Wipro Limited","7(3)","Amit Choudhary","-","ADR/GDR/FCCB","73484","0",,"73484","34177041","Sell","ADR/GDR/FCCB","Nil","0","11-Jun-2024","11-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NA","-","12-Jun-2024 18:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165732_1156850_12062024064942_WEB.xml"
"MAGNUM","Magnum Ventures Limited","7(2)","Pradeep Kumar Jain","Promoters","Equity Shares","2756900","4.68",,"1881250","47031250","Buy","Equity Shares","4638150","7.63","05-Jun-2024","05-Jun-2024","10-Jun-2024","Conversion of security","-","-","0","0","0","0","NA","-","12-Jun-2024 18:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165731_1156846_12062024064904_WEB.xml"
"MAGNUM","Magnum Ventures Limited","7(2)","Pradeep Kumar Jain","Promoters","Warrants","3881250","0",,"1881250","47031250","Sell","Warrants","2000000","0","05-Jun-2024","05-Jun-2024","10-Jun-2024","Conversion of security","-","-","0","0","0","0","NA","-","12-Jun-2024 18:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165731_1156846_12062024064904_WEB.xml"
"ADORWELD","Ador Welding Limited","7(2)","Mrs. Ninotchka Malkani Nagpal","Director","Equity Shares","200488","1.47",,"256","319964","Buy","Equity Shares","200744","1.48","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Purchase","-","-","0","0","0","0","-","-","12-Jun-2024 18:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165727_1156831_12062024064411_WEB.xml"
"ADORWELD","Ador Welding Limited","7(2)","Mrs. Ninotchka Malkani Nagpal","Director","Equity Shares","199952","1.47",,"536","669619","Buy","Equity Shares","200488","1.47","07-Jun-2024","07-Jun-2024","10-Jun-2024","Market Purchase","-","-","0","0","0","0","-","-","12-Jun-2024 18:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165725_1156825_12062024064056_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Nicole Pandit","Employees/Designated Employees","Equity Shares","975","0",,"900","5668918","Sell","Equity Shares","75","0","11-Jun-2024","11-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 18:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165719_1156796_12062024060800_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Info Edge Employees Stock Option Plan Trust","Other","Equity Shares","230091","0.18",,"6810","68100","Sell","Equity Shares","223281","0.17","07-Jun-2024","07-Jun-2024","11-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 18:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165719_1156796_12062024060800_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Rahul Kumar","Immediate relative","Equity Shares","186","0",,"186","1172172","Sell","Equity Shares","Nil","0","11-Jun-2024","11-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 18:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165719_1156796_12062024060800_WEB.xml"
"NAGAFERT","Nagarjuna Fertilizers and Chemicals Limited","7(2)","Krishak Bharati Cooperative Limited (KRIBHCO)","Promoters","Equity Shares","7662726","1.28",,"148036","1779000","Sell","Equity Shares","7514690","1.26","11-Jun-2024","11-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 18:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165716_1156789_12062024060216_WEB.xml"
"RAYMOND","Raymond Limited","7(2)","Shephali Ruia","Promoter Group","Equity Shares","104600","0.16",,"5000","12128600","Sell","Equity Shares","99600","0.15","07-Jun-2024","07-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 18:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165715_1156786_12062024060138_WEB.xml"
"RAYMOND","Raymond Limited","7(2)","Shephali Ruia","Promoter Group","Equity Shares","108113","0.16",,"3513","8035355","Sell","Equity Shares","104600","0.16","06-Jun-2024","06-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 18:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165715_1156786_12062024060138_WEB.xml"
"NAGAFERT","Nagarjuna Fertilizers and Chemicals Limited","7(2)","Krishak Bharati Cooperative Limited (KRIBHCO)","Promoters","Equity Shares","8662726","1.45",,"1000000","12400000","Sell","Equity Shares","7662726","1.28","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 18:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165714_1156784_12062024060121_WEB.xml"
"ROHLTD","Royal Orchid Hotels Limited","7(2)","Chander K. Baljee","Key Managerial Personnel","Equity Shares","10756595","39.22",,"12149","4438077","Buy","Equity Shares","10768744","39.27","11-Jun-2024","11-Jun-2024","12-Jun-2024","Market Purchase","-","-","0","0","0","0","NSE","-","12-Jun-2024 17:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165710_1156777_12062024055914_WEB.xml"
"GLAND","Gland Pharma Limited","7(2)","K. RAGHURAMACHANDRA RAO","Employees/Designated Employees","Equity Shares","8000","0",,"3000","5550000","Sell","Equity Shares","5000","0","06-Jun-2024","06-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","BSE","-","12-Jun-2024 17:54","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165708_1156772_12062024055448_WEB.xml"
"GLAND","Gland Pharma Limited","7(2)","K. RAGHURAMACHANDRA RAO","Employees/Designated Employees","Equity Shares","5000","0",,"1456","2751840","Sell","Equity Shares","3544","0","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 17:54","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165708_1156772_12062024055448_WEB.xml"
"JINDALSAW","Jindal Saw Limited","7(2)","Sunil K Jain","Key Managerial Personnel","Equity Shares","Nil","0",,"8824","4638776","Buy","Equity Shares","8824","0","11-Jun-2024","11-Jun-2024","12-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 17:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165705_1156762_12062024055048_WEB.xml"
"JINDALSAW","Jindal Saw Limited","7(2)","Rajeev Goyal","-","Equity Shares","4350","0",,"4356","2418233","Buy","Equity Shares","8706","0","11-Jun-2024","11-Jun-2024","12-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 17:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165705_1156762_12062024055048_WEB.xml"
"JINDALSAW","Jindal Saw Limited","7(2)","Vinay Kumar","-","Equity Shares","Nil","0",,"15472","7865964","Buy","Equity Shares","15472","0","10-Jun-2024","10-Jun-2024","12-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 17:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165705_1156762_12062024055048_WEB.xml"
"JINDALSAW","Jindal Saw Limited","7(2)","Sanjiv Dheer","-","Equity Shares","14082","0",,"6436","3620116","Sell","Equity Shares","7646","0","07-Jun-2024","10-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 17:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165705_1156762_12062024055048_WEB.xml"
"JINDALSAW","Jindal Saw Limited","7(2)","Samruddhi Employees Trust","-","Equity Shares","1521936","0.47",,"28652","2045752","Sell","Equity Shares","1493284","0.47","10-Jun-2024","11-Jun-2024","12-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 17:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165705_1156762_12062024055048_WEB.xml"
"JINDALSAW","Jindal Saw Limited","7(2)","Karunanidhi Agarwal","-","Equity Shares","2000","0",,"500","289500","Sell","Equity Shares","1500","0","10-Jun-2024","10-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 17:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165705_1156762_12062024055048_WEB.xml"
"DAMODARIND","Damodar Industries Limited","7(2)","Anil D Biyani","Director","Equity Shares","3059000","13.12",,"500","24550","Sell","Equity Shares","3058500","13.12","11-Jun-2024","11-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 17:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165703_1156756_12062024054831_WEB.xml"
"ZENSARTECH","Zensar Technologies Limited","7(2)","Chaitanya Rajebahadur","Employees/Designated Employees","Equity Shares","8653","0.03",,"8653","6040794","Sell","Equity Shares","Nil","0","12-Jun-2024","12-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 17:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165702_1156753_12062024054806_WEB.xml"
"ZENSARTECH","Zensar Technologies Limited","7(2)","Chaitanya Rajebahadur","Employees/Designated Employees","Equity Shares","17303","0.07",,"8650","6143150","Sell","Equity Shares","8653","0.03","11-Jun-2024","11-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 17:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165702_1156753_12062024054806_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","Dr. Lal PathLabs Employees Welfare Trust","Other","Equity Shares","252488","0.3",,"886","8860","Sell","Equity Shares","251602","0.3","27-May-2024","11-Jun-2024","12-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","12-Jun-2024 17:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165699_1156735_12062024053813_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","Munender Soperna","Employees/Designated Employees","Equity Shares","25990","0.03",,"400","1148507","Sell","Equity Shares","25590","0.03","10-Jun-2024","10-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 17:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165699_1156735_12062024053813_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","Sanjay Kulshreshtha","Employees/Designated Employees","Equity Shares","2285","0",,"500","1400000","Sell","Equity Shares","1785","0","10-Jun-2024","11-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 17:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165699_1156735_12062024053813_WEB.xml"
"USHAMART","Usha Martin Limited","7(2)","PETERHOUSE  INVESTMENTS INDIA LIMITED","Promoter Group","Equity Shares","14116529","4.63",,"200000","75182000","Sell","Equity Shares","13916529","4.57","11-Jun-2024","11-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 17:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165698_1156733_12062024053632_WEB.xml"
"AGARWALFT","Agarwal Float Glass India Limited","7(2)","UMA SHANKAR AGARWAL","Promoters","Equity Shares","4856473","67.05",,"39000","1986024","Sell","Equity Shares","4817473","66.51","11-Jun-2024","11-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 17:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165695_1156723_12062024053049_WEB.xml"
"KSCL","Kaveri Seed Company Limited","7(3)","Kaveri Employees Trust","-","Equity Shares","566491","1.1",,"56441","53067105","Sell","Equity Shares","510050","0.99","10-Jun-2024","10-Jun-2024","11-Jun-2024","ESOP","-","-","0","0","0","0","NSE","-","12-Jun-2024 17:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165693_1156714_12062024052427_WEB.xml"
"KSCL","Kaveri Seed Company Limited","7(3)","Kaveri Employees Trust sold on behalf of Employees","-","Equity Shares","56441","0.11",,"56441","53067105","Sell","Equity Shares","Nil","0","10-Jun-2024","10-Jun-2024","12-Jun-2024","ESOP","-","-","0","0","0","0","NSE","-","12-Jun-2024 17:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165693_1156714_12062024052427_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","R. Shankar","Employees/Designated Employees","Equity Shares","10414","0",,"300","779005","Sell","Equity Shares","10114","0","03-Jun-2024","03-Jun-2024","12-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","12-Jun-2024 17:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165691_1156711_12062024052253_WEB.xml"
